0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
399.2566,399.56247,400.09186,400.2919,400.36246,400.4056,400.53503,400.5468,400.47623,400.3664,400.32718,400.34677,400.42914,400.53897,400.5821,400.5468,400.4605,400.39777,400.4566,400.54288,400.65268,400.70367,400.6174,400.51935,400.42136,400.38605,400.4331,400.14285
399.94678,400.19775,400.6762,400.92328,400.98212,400.98602,401.13895,401.1664,401.09976,401.01346,400.94287,400.96246,400.99777,401.13504,401.186,401.15073,401.0723,401.0017,401.037,401.08795,401.22916,401.27228,401.23694,401.13892,401.01733,400.99377,400.9938,400.67618
400.80954,401.16638,401.6801,402.03696,402.06833,402.1193,402.16632,402.2134,402.19772,402.15067,402.0997,402.01733,402.1075,402.13104,402.2095,402.25262,402.233,402.182,402.11536,402.17416,402.2016,402.2761,402.32315,402.27216,402.2016,402.11926,402.0879,401.8526
401.83698,402.1428,402.60553,402.82516,402.84476,402.8487,402.84866,402.90744,402.92706,402.8918,402.84082,402.82123,402.82516,402.8487,402.93103,402.96237,402.97412,402.91138,402.89572,402.88788,402.90353,402.9898,403.04077,403.05252,402.98584,402.9349,402.91138,402.85257
402.7114,402.8957,403.23688,403.41727,403.30746,403.32315,403.331,403.382,403.4055,403.3545,403.32312,403.32706,403.29962,403.3663,403.43295,403.48785,403.46432,403.40158,403.3584,403.33487,403.3859,403.44073,403.51917,403.49954,403.46426,403.39368,403.38977,403.48392
402.69568,402.90738,403.24857,403.40936,403.34662,403.31918,403.33487,403.34274,403.3623,403.34268,403.3309,403.33093,403.3388,403.39374,403.43295,403.4721,403.4172,403.37402,403.31912,403.28387,403.33878,403.38583,403.44067,403.425,403.42105,403.38974,403.40152,403.48392
402.75842,402.9427,403.2564,403.38583,403.3388,403.38586,403.3545,403.39374,403.41724,403.40152,403.3662,403.38583,403.41724,403.42508,403.4643,403.46033,403.39758,403.34265,403.33087,403.3074,403.28778,403.37405,403.41324,403.42108,403.38184,403.39365,403.44077,403.50745
402.81326,402.98187,403.35834,403.4485,403.3936,403.4485,403.44852,403.48386,403.4995,403.4877,403.46024,403.43674,403.45242,403.48776,403.4878,403.4799,403.4132,403.35828,403.29947,403.29166,403.3466,403.3819,403.43283,403.44455,403.42102,403.38574,403.45248,403.54272
402.84464,403.0446,403.40533,403.49942,403.45627,403.519,403.53867,403.5779,403.5818,403.5543,403.50723,403.46408,403.51117,403.5661,403.5151,403.52682,403.43268,403.31894,403.25616,403.2915,403.39355,403.44452,403.5033,403.4719,403.4248,403.36996,403.4602,403.5858
402.7975,403.05627,403.41702,403.56992,403.49936,403.57385,403.56604,403.6053,403.63663,403.60522,403.57385,403.52292,403.57782,403.5779,403.55435,403.5739,403.44836,403.3621,403.2562,403.32288,403.37784,403.43665,403.51898,403.50327,403.46402,403.3582,403.45236,403.57794
402.80142,403.0445,403.40524,403.59348,403.51114,403.54645,403.5425,403.58572,403.64844,403.66803,403.6328,403.58572,403.58572,403.58582,403.5897,403.60135,403.52292,403.39343,403.29926,403.31894,403.3464,403.42877,403.49536,403.47968,403.43265,403.38168,403.4092,403.51517
402.80148,403.021,403.39746,403.59357,403.48764,403.472,403.4798,403.5583,403.64847,403.6289,403.60934,403.57785,403.55838,403.59763,403.60547,403.6093,403.52298,403.4485,403.33072,403.2916,403.35043,403.44846,403.46417,403.43665,403.38565,403.3229,403.36218,403.46814
402.78583,403.01318,403.37787,403.50726,403.4053,403.4249,403.42883,403.48776,403.55832,403.5623,403.57797,403.55838,403.53485,403.53882,403.52707,403.49945,403.4015,403.35828,403.2994,403.272,403.3074,403.3701,403.3974,403.3504,403.31506,403.2562,403.3034,403.3976
402.81335,403.01328,403.31516,403.42105,403.38574,403.4171,403.39752,403.4838,403.54254,403.52704,403.53873,403.5349,403.49963,403.45264,403.45654,403.4093,403.31137,403.2525,403.276,403.24072,403.26422,403.33484,403.32697,403.276,403.24844,403.26022,403.31125,403.3976
402.8526,403.02905,403.40927,403.44852,403.35434,403.3974,403.42093,403.48767,403.49948,403.49567,403.49567,403.44086,403.42517,403.3781,403.40552,403.3427,403.26025,403.20544,403.20935,403.20154,403.25647,403.2917,403.29953,403.26422,403.23682,403.24057,403.33868,403.4485
402.84082,403.04077,403.3898,403.46414,403.3544,403.39746,403.4329,403.4759,403.5231,403.4799,403.45642,403.37024,403.37027,403.3977,403.38586,403.31528,403.28387,403.2015,403.1818,403.1818,403.23682,403.28772,403.2799,403.28384,403.21707,403.20923,403.32693,403.49173
402.81726,403.0016,403.35455,403.47592,403.35837,403.4211,403.425,403.4682,403.49957,403.49564,403.47617,403.40158,403.46045,403.41342,403.4251,403.41336,403.3624,403.26044,403.16626,403.2133,403.20947,403.23288,403.2604,403.25632,403.22507,403.20148,403.3544,403.49176
402.7664,402.98987,403.32318,403.44467,403.3742,403.40146,403.38974,403.43686,403.49167,403.53098,403.49182,403.45657,403.47223,403.40555,403.43295,403.46045,403.40945,403.33102,403.2055,403.17807,403.16232,403.22516,403.25262,403.2524,403.27997,403.2485,403.31927,403.47614
402.7586,402.94672,403.31137,403.44873,403.36642,403.35843,403.34274,403.4094,403.49188,403.48785,403.46432,403.4212,403.42517,403.4017,403.4487,403.45245,403.38208,403.31927,403.22513,403.18195,403.1938,403.2684,403.3076,403.30753,403.32706,403.2684,403.30746,403.45648
402.73517,402.92725,403.27628,403.42136,403.34677,403.33112,403.33884,403.40158,403.45654,403.43292,403.4408,403.38217,403.38193,403.37015,403.40164,403.382,403.3585,403.29562,403.23688,403.2409,403.2566,403.3507,403.38205,403.3742,403.3742,403.32712,403.39764,403.4565
402.7823,402.96252,403.2684,403.40186,403.3901,403.4213,403.41336,403.48007,403.5116,403.49585,403.44485,403.44876,403.4174,403.4056,403.41727,403.39767,403.3741,403.3194,403.3231,403.33887,403.34274,403.433,403.46057,403.41733,403.429,403.42123,403.43692,403.51532
402.84875,403.0017,403.36646,403.45667,403.40173,403.46045,403.50754,403.54663,403.58594,403.55453,403.51535,403.44077,403.43683,403.4486,403.46423,403.47217,403.43283,403.40927,403.36624,403.40942,403.47217,403.49573,403.4566,403.29184,403.22134,403.2684,403.3545,403.44867
402.82925,403.03702,403.38602,403.47238,403.43698,403.4957,403.55847,403.61322,403.6291,403.58194,403.53482,403.47598,403.484,403.54672,403.55835,403.55444,403.55447,403.44855,403.42123,403.46832,403.53107,403.44092,403.15854,402.76248,402.6722,402.8447,403.02127,403.18982
403.0842,403.20963,403.48816,403.66464,403.5977,403.67612,403.71136,403.7545,403.81345,403.74277,403.6879,403.62918,403.70358,403.6957,403.74274,403.76218,403.6957,403.63287,403.58594,403.65253,403.67224,403.3899,402.84082,402.39783,402.31934,402.50366,402.83698,403.08798
403.55478,403.45673,403.6449,403.8017,403.71155,403.7586,403.77026,403.84097,403.9232,403.85657,403.7859,403.7664,403.7507,403.77423,403.8487,403.90347,403.86832,403.82507,403.778,403.77814,403.80554,403.51147,402.99774,402.68408,402.8134,403.2919,403.64883,403.78995
404.6724,404.35083,404.49588,404.65283,404.4684,404.42917,404.49963,404.58594,404.6604,404.60944,404.52713,404.44852,404.45255,404.48004,404.57016,404.64865,404.65646,404.58203,404.4801,404.48,404.54666,404.4449,404.339,404.32324,404.82523,405.46826,405.49185,405.48795
405.82925,405.5351,405.64493,405.57037,405.29196,405.11157,405.139,405.20953,405.24484,405.24072,405.182,405.13492,405.13892,405.12714,405.22916,405.2839,405.26047,405.24472,405.21335,405.17032,405.22125,405.42123,405.84088,406.2606,406.86826,407.3036,406.93506,406.67624
406.2057,406.2646,406.5351,406.30765,405.9194,405.65274,405.62128,405.69574,405.81348,405.79376,405.77032,405.7506,405.6918,405.66043,405.70358,405.8212,405.7741,405.79373,405.7583,405.684,405.71143,406.0959,406.8723,407.48013,407.91528,408.2369,407.81345,407.47617
